nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.12947291,0.36919174,0.22439778,0.33691084,0.21659988,0.4777044,0.37846145,0.33360618,0.35466963,0.48620868,0.47582006,0.23178516,0.46483642,0.3979388,0.4992357,0.4427474,0.4906399,0.5423104,0.66950655,0.30952063,0.71948755,0.56734157,0.89694995,0.35785627,0.85819614,0.73617005,neutral
0.12746248,0.38332707,0.22510664,0.35174954,0.21199226,0.48627493,0.3849705,0.3460043,0.3524291,0.48657677,0.46826798,0.26720268,0.4687595,0.38436973,0.4932922,0.45423645,0.48563373,0.5534277,0.6530642,0.33320346,0.7054317,0.55925816,0.88259614,0.3772759,0.83526444,0.7209451,neutral
0.13245049,0.38511962,0.22450113,0.356193,0.21479401,0.4921096,0.38306051,0.35414442,0.35658008,0.48583376,0.47613928,0.25578168,0.47776592,0.38774678,0.49213493,0.45816407,0.48394388,0.5567628,0.6584429,0.336192,0.70376986,0.5546464,0.88366884,0.37941128,0.8393322,0.71181977,neutral
0.12648281,0.3980947,0.22479568,0.36365923,0.20932756,0.5034468,0.38131762,0.35984373,0.3562048,0.50116974,0.48133153,0.27172422,0.47592497,0.4053402,0.4939277,0.4686484,0.48581195,0.5707033,0.6628,0.34065956,0.7035533,0.5630462,0.8870205,0.3953641,0.8303654,0.70538354,neutral
0.13153195,0.4039266,0.2213822,0.37694103,0.20612243,0.50712013,0.38245925,0.36994287,0.35470712,0.5036502,0.4765929,0.28627837,0.48042566,0.39917523,0.49223647,0.4857666,0.48528653,0.5838766,0.6551863,0.3565111,0.69498885,0.5508574,0.8830721,0.4119298,0.82440084,0.7000096,neutral
0.12796605,0.39754456,0.21485868,0.38100976,0.20383465,0.51654625,0.3751931,0.38441345,0.3506484,0.5057837,0.4713081,0.2906676,0.47585306,0.41035482,0.48634905,0.48873484,0.47928962,0.58709997,0.65966463,0.36780962,0.68919003,0.5519662,0.8841488,0.41817254,0.8294357,0.69730586,neutral
0.12657675,0.4011159,0.21222232,0.38313943,0.20386522,0.5196278,0.36852786,0.3916185,0.35008764,0.51473385,0.4619922,0.29191583,0.47295237,0.40890548,0.48760742,0.49167317,0.48100066,0.58956426,0.6581707,0.37343365,0.68170524,0.54694617,0.88437814,0.42243132,0.83115834,0.68884575,neutral
0.12705103,0.4194096,0.21189806,0.39184794,0.20622711,0.52629685,0.3641939,0.39939582,0.35036838,0.4992579,0.457669,0.30437607,0.47878024,0.4093283,0.48877972,0.49653447,0.48319942,0.59607327,0.6627834,0.37589598,0.67700166,0.549559,0.88452506,0.4394763,0.8301313,0.68411654,neutral
0.13538992,0.42332685,0.21004161,0.39749858,0.20758632,0.5366801,0.36755383,0.3898692,0.34747815,0.538152,0.45682913,0.2958957,0.45401928,0.44100678,0.48751754,0.49776846,0.48223326,0.59672016,0.65941393,0.3856591,0.67110944,0.5416469,0.8853494,0.44361645,0.831974,0.6654209,neutral
0.12285793,0.4440682,0.20772968,0.41292846,0.20254856,0.5579339,0.36284444,0.40015948,0.33465415,0.5612767,0.45409235,0.3126851,0.4342599,0.4715813,0.48213112,0.5139156,0.47559938,0.61353326,0.66164327,0.4149502,0.6532206,0.54869753,0.8840945,0.46584737,0.83703077,0.6691513,neutral
0.12341635,0.45208478,0.21249104,0.4248615,0.20328848,0.5630449,0.3633784,0.41933855,0.3388854,0.5696374,0.45491225,0.33195323,0.45760924,0.4791298,0.48187506,0.52372885,0.47664353,0.6225083,0.66376686,0.41923112,0.66176444,0.5592464,0.8864419,0.4753097,0.8382609,0.6514268,neutral
0.12659873,0.46215165,0.21291512,0.4334079,0.2042514,0.5696956,0.36315832,0.42789906,0.34466112,0.5812662,0.45633945,0.34979147,0.45796353,0.47893262,0.48320025,0.53113025,0.4788508,0.6259825,0.6590538,0.43369755,0.65112734,0.5481782,0.8791296,0.48422253,0.8406899,0.644294,neutral
0.1329175,0.46774626,0.21335903,0.43726516,0.20855123,0.5744756,0.3628975,0.43349594,0.34582254,0.5896319,0.458744,0.3500119,0.45105082,0.506689,0.48031062,0.5350642,0.47587034,0.6306776,0.65853703,0.4438983,0.65169287,0.5401921,0.8877267,0.49241957,0.85980535,0.63657117,neutral
0.12833224,0.47728917,0.20810126,0.4455477,0.20415354,0.5836259,0.36100614,0.44088525,0.34717938,0.6022317,0.45846558,0.3496908,0.44883496,0.5281155,0.4739128,0.5389756,0.46968886,0.63797224,0.65700674,0.4484908,0.6506357,0.5444524,0.8915819,0.4957796,0.87116253,0.63456213,neutral
0.13066214,0.48293123,0.2037816,0.45686668,0.20179364,0.5878182,0.35898837,0.44599852,0.34404513,0.60316896,0.45470878,0.35399112,0.44823214,0.5245762,0.47364578,0.5457141,0.4727921,0.642185,0.65652186,0.46165788,0.641771,0.54104114,0.88442135,0.5023657,0.8192779,0.6017164,neutral
0.12816714,0.48899555,0.20150572,0.46084747,0.20377442,0.59706336,0.34780964,0.45270908,0.34791487,0.61035705,0.44950104,0.35946494,0.43960547,0.5495529,0.46994326,0.54971516,0.4693255,0.6455373,0.65825677,0.4605081,0.6429858,0.5367399,0.87570894,0.5083341,0.85569644,0.5801971,neutral
0.13182762,0.48757562,0.20412216,0.458898,0.20761839,0.59482443,0.3527075,0.45272475,0.3490469,0.602128,0.44812354,0.36696467,0.45398146,0.5241624,0.4715914,0.5464343,0.47274947,0.6424159,0.6708409,0.46038803,0.6558804,0.5372256,0.902001,0.508779,0.8827896,0.5742813,neutral
0.13351864,0.48446295,0.20114261,0.46106488,0.2055226,0.5908121,0.3521205,0.45037276,0.34623706,0.60390604,0.45052028,0.36192226,0.44898295,0.53019965,0.46678323,0.5379109,0.46650392,0.6291994,0.6576948,0.4571532,0.65388,0.5333126,0.86881274,0.49967867,0.8700525,0.55419993,neutral
0.13023144,0.4897338,0.20393327,0.4652469,0.21268511,0.6036003,0.35729545,0.45518464,0.35805678,0.61529297,0.45314234,0.3697518,0.45746037,0.55814606,0.4738307,0.53951657,0.47540247,0.6368027,0.6715166,0.4606869,0.6637317,0.5338155,0.88607585,0.5028609,0.88678956,0.5520882,neutral
